Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Type,Target
cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
telat tau edan sarap gue bergaul cigax jifla calis licew,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ku tau matamu sipit,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kaum cebong kafir dongoknya dungu haha,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
ya bani taplak kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gue selesai re watch aldnoah zero kampret 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
admin belanja po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0,None,None
enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
gue jari gue ukur nyali bacot xf0 x9f x98 x8f,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
aktor huru hara 98 prabowo sih lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
bu guru enakan jablay guru sekolah dasar sih kayaknya menikmati pecun guru,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
lawan bicara gue intelek kayak otak kencing onta gue mengakui hadis nabi sahih kafir kayak menolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech & Abusive,Individual
pikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ari beki rapi monyet xf0 x9f x98 x86 xf0 x9f x98 x86,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
cowok gantle gantle namanya banci,1,1,0,1,0,0,0,1,0,0,1,0,Hate Speech & Abusive,Group
alga mnr bom xf0 x9f x98 x82,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anjing ya gue jarang mengambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
noob peluang disakiti nya gede sih,0,0,0,0,0,0,0,0,0,0,0,0,None,None
joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pelajar kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0,None,None
bandara udara internasional ajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gubernur presidennya rakyatnya ya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
sih kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ai komunis indonesia muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
nenek nenek heran cebong bohong,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
islam nusantara produk jil dipasarkan gencar antek xc2 xb2 jil jil anti arab pro asing almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
habis sahur jam 10 sih bayi nete kali lemas xf0 x9f xa4 xa2,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kelakuan homo jaman now ngentot live blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
kak gue orang jawa maaf ya gue orang palembang kakak deh belajar aksara jawa kelak belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes be anya dijutekin bangsat malas belinya kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
