,hs_class,text
0,negative, di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego 
1,positive, siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga 
2,positive,41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
3,positive, aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku 
4,negative, kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha 
5,negative, ya bani taplak dan kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 
6,positive,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
7,positive,gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator
8,positive,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kamu kamu doket mana itu gerai rozak me uaku taipan 2 depan kembar baby amp romantika bank islam senawang 
9,positive, enak lagi kalau sambil ngewe 
10,negative,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu xf0 x9f x98 x8f 
11,negative, banci kaleng malu tidak bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe uniform resource locator
12,positive,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi 
13,negative,aktor huru hara 98 prabowo sih ingin lengserkan pemerintahan jokowi nyata
14,negative, bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru 
15,negative, lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar 
16,positive,belakangan ini kok pikiran ampas banget ya 
17,positive,ari sama beki adalah rapi monyet xf0 x9f x98 x86 xf0 x9f x98 x86 
18,negative,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci 
19,positive, alga mnr bom xf0 x9f x98 x82 
20,positive,anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta 
21,positive, kalau kamu noob pasti peluang disakiti nya lebih gede sih 
22,positive, joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
23,positive,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
24,positive,bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan 
25,positive,siapapun gubernur dan presidennya rakyatnya ya kita juga 
26,negative,ini sih kerjaannya delay mulu setan 
27,positive,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
28,negative, pak ai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong 
29,negative, itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus 
30,negative, islam nusantara produk jil dipasarkan dengan gencar oleh antek xc2 xb2 jil dan sementara jil anti arab tapi pro asing dan kata almarhum kh hasyim muzadi 
31,positive,dari habis sahur sampai jam 10 sih bayi sudah nete empat kali sekarang rasanya lemas tak terkira xf0 x9f xa4 xa2 
32,positive, tidak kak emak adalah tidak suka sama yang sipit wkwk 
33,positive, kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator
34,positive, tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang 
35,negative,pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes be anya dijutekin bangsat memang malas belinya juga kabur gue ke matahari 
36,positive, xe2 x80 x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji selamat ulang tahun pelaut jkt48 
37,positive,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri 
38,positive, presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi
39,positive,edan memang tujuannya fabiano 
40,negative,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law 
41,positive,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah 
42,negative,anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jaka a
43,positive, gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot syiar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu 
44,positive, apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa 
45,positive,ciptakan situasi keamanan dan kete iban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
46,positive, positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl
47,positive, kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu dan istilah xc2 xa0sembahyang xc2 xa0pun lahir dari tradisi ritus xc2 xa0menyembahhyang yang tunggal sama dengan xc2 xa0shalat menyembah all
48,negative,kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila
49,negative, ahok the best abaikan kaum kampret otak micin 
50,negative, sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe 
51,negative, awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden dungu xf0 x9f x98 x8b
52,negative,pinokio umur 3 tahunan itu 2019 ganti presiden
53,positive, cerita silat lae xf0 x9f x98 x80 semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina 
54,negative, benci sekali dengan umat islam
55,negative, provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibu kota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
56,positive, dari pada gue nete 
57,negative, wkwk bani lowo 
58,positive,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi
59,positive,a orang yang suka ke konser konser sedikit boros 
60,positive, sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga 
61,positive,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu
62,negative, sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue banci homo 
63,positive,saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong 
64,positive,budaya kafir bersungguh kalau hal hal islam tidak diindahkan 
