,username,text,retweet_count
0,kembarannyaimas,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
1,Rian170363Az,"RT @MrsRachelIn: Vaksin corona tiba, Jokowi minta penerapan prosedur ketat sebelum vaksinasi. @kontanNews https://t.co/LvPTrSEVCp",0
2,ayu_yude,"RT @jokowi: Semenjak dari awal, saya mengingatkan para menteri Kabinet Indonesia Maju: jangan korupsi!

Karena itulah, terkait penetapan Me…",0
3,cak_iwan,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
4,vayakikin,"RT @AndreasMarbun_: tanggung jawab pemberantasan korupsi ada di Presiden, bukan di KPK.. 

Saya tidak memilih ketua KPK untuk memberantas k…",0
5,Kacong09137260,"@jokowi Hukuman mati layak bagi para pejabat negara yg koruptor krn mereka melakukan dg penuh kesadaran...
#HukumMatiPejabatKoruptor",0
6,Amysyarofah,@DONT_TrYaTHOME @jokowi Bisa baca bahasa Indonesia gak Anda,0
7,A_B_4_M,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
8,iun_sam,@KakekHalal @KPK_RI @aniesbaswedan ya memang iya ...ini kan dog fight antara jokowi dengan Jusuf kalla,0
9,Syam42933824,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
10,becak125cc,"RT @Namaku_Mei: Daftar Mentri yg ke serok KPK 
- Megawati (² thn ) 5 Mentri
- SBY ( ¹⁰ thn ) 5 Mentri 
1 Mentri di vonis bebas
- Jokowi ( b…",0
11,A_B_4_M,"RT @KetumProDEM: Woii, @KPK_RI.
Berantas Korupsi tak boleh pilih² tebu.

@KPK_RI telah katakan ada masalah dan potensi kerugian negara di p…",0
12,idtodayco,"Rocky Gerung: Partai Wong Cilik Rampok Hak Wong Cilik, Belakang Punggung Jokowi Tikus Berkeliaran
https://t.co/du5o9uyAPG",0
13,agusbaktisnts,cc:@jokowi,0
14,diponegros,"@PowerRangerPin7 Menteri2nya ditangkapi KPK karena korupsi, kabinet jokowi seperti sdh jadi sarang kouptor. Apa mun… https://t.co/ttbwCYM4GW",0
15,inewsdotid,"Jokowi menjelaskan Indonesia akan menerima total bahan baku untuk 45 juta dosis vaksin dari Sinovac.

https://t.co/FMkcPso7qG",0
16,JanganJadiPaok,RT @PartaiSocmed: Perasaan dulu saat ramai2nya revisi UU KPK @jokowi koar2 soal hukuman mati untuk koruptor kan?,0
17,deninovi,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
18,iwankaligadung,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
19,hiroshiumeda,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
20,MehmetMax2,Mau bantah apa lagi ternyata kabinet jokowi sarang koruptor.,0
21,diponegros,"@idtodayco Menteri2nya ditangkapi KPK karena korupsi, kabinet jokowi seperti sdh jadi sarang kouptor. Apa mungkin jokowi tdk terlibat?!",0
22,si_abeh,"RT @jokowi: Semenjak dari awal, saya mengingatkan para menteri Kabinet Indonesia Maju: jangan korupsi!

Karena itulah, terkait penetapan Me…",0
23,Aldy_5rl,"RT @alexander_murfi: Mensos Juliari Peter Korupsi Bantuan Covid, MUI Dukung Hukuman Mati

Kalau tidak dihukum mati berarti dilindungi jokow…",0
24,deninovi,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
25,You4reBeauty,@singkong_kolak @jokowi Kalau habib rizieq kaya banyak uangnya mending cari pulau atau beli pulau trus tinggal weh… https://t.co/TCRJ4ptcO8,0
26,HelaSori,"RT @MrsRachelIn: Vaksin corona tiba, Jokowi minta penerapan prosedur ketat sebelum vaksinasi. @kontanNews https://t.co/LvPTrSEVCp",0
27,MACPHISTOISME,Lah biasa lah,0
28,roymz_13,@detikcom @detikfinance silahkan pak @jokowi &amp; keluarga duluan.,0
29,EdiKeceput,"Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor 

===
Ada benarnya juga, 2 parpol terbesar yg semu… https://t.co/AjOrtkEh4Q",0
30,bumiborneo8,@Mosan40235070 @cendanao @Adus_solihin @yunartowijaya Ciee cebong dungu kelojotan kalau pak.anies dapat penghargaan… https://t.co/iH00Ure7TI,0
31,alanesia,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
32,fie_andin,Gut aidia nih👍🏻👍🏻👍🏻,0
33,zulfi_muhammad1,"RT @temponewsroom: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerah…",0
34,dubie_tina,"RT @AnakKolong_: NABI JANCUK SOCial MEDia | 
.
.
""Maha Benar Jancuk SocMed dengan segala bacot digitalnya"".
.
.
. https://t.co/w4Uhjzr8wn",0
35,kribo_jantan,@jokowi Bermainlah cantik niscaya aman.,0
36,HaedarAsad,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
37,muhammadzakiha7,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
38,ibnudona,@AJEnglish Shame on u @jokowi 👎👎👎,0
39,muhammadzakiha7,"RT @temponewsroom: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerah…",0
40,hanafi10829579,"@OposisiCerdas Ancor sudah negara, kelau sudah begini MALING semua, polisi, mentri, jaksa, hakim,. ancor, ancor, pa… https://t.co/3w2VTvdEOr",0
41,sipandu,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
42,netijenomous,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
43,Raisya273,Bisa bisanya johan sy baca jokowi 😶,0
44,Demson14614242,@Dennysiregar7 @jokowi Doakan saja yg merasa tokoh papua segera bertobat supaya nggak banyak comer...,0
45,SumantriTri78,"RT @KetumProDEM: Woii, @KPK_RI.
Berantas Korupsi tak boleh pilih² tebu.

@KPK_RI telah katakan ada masalah dan potensi kerugian negara di p…",0
46,fadjroeL,Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~… https://t.co/LDQBG61kUt,0
47,fadjroeL,Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~… https://t.co/nd2YUvkk4T,0
48,AGUSRUD12192970,"@Dennysiregar7 @jokowi Yang di depan mata (gabener) didiemin yah, 560 M, dana covid dll nggak terendus tuh..???",0
49,kucingkampunq,@luviku @jokowi Dia apa mudeng ..keluhan rakyat kecil..???.penting ngurusi anak mantu smp dilantekkk kpu..,0
50,MJtuhMasJoko,"RT @Toperendusara1: Pada suatu waktu, Menkopolhukam @mohmahfudmd bersabda ""Korupsi dana bansos hukumannya MATI!""

Kita tunggu hukuman untuk…",0
51,IngatHariHisab,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
52,gwchaniago,"RT @Toperendusara1: Selamat pagi pakde @jokowi 

Mau ngasih tahu Menterinya pak Jokowi maling! :p #dapse",0
53,Michael09660123,RT @aikel112629: Semakin menjadi2 nih bangsat...@CCICPolri @DivHumas_Polri https://t.co/wOWl4BgeUB,0
54,AurorA72834911,"BAGAIMANA INI @KPK_RI ? 🤔
@jokowi
@mohmahfudmd
@Dr_Moeldoko
@prabowo
@Puspen_TNI
@DivHumas_Polri
@hnurwahid… https://t.co/HNRkQ1r2Wn",0
55,HiaDaniel,@AntonKu62463911 @DTanjung15 @jokowi @KPK_RI Mana mau dpr membut uunya?,0
